"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"37","3","GO Process","","cellular response to glucose starvation","1.9E-4","SESN2|PMAIP1|ATF4","16949","342|171|731","1.02E-5","","GO.0042149","0.4263495495033643","0"
"36","3","GO Process","","positive regulation of glucose metabolic process","1.9E-4","PMAIP1|FOXO1|AKT1","16949","171|1426|650","9.47E-6","","GO.0010907","0.4263495495033643","0"
"348","5","KEGG Pathways","","PI3K-Akt signaling pathway","2.0E-4","FGF2|CASP9|ATF4|PGF|AKT1","16949","621|304|731|946|650","2.97E-5","","hsa04151","0.4237973049510845","0"
"128","4","GO Process","","signal transduction by p53 class mediator","2.0E-4","SESN2|EP300|PMAIP1|PRMT1","16949","342|1264|171|225","1.08E-5","","GO.0072331","0.4237973049510845","0"
"1106","8","GO Process","","cellular response to endogenous stimulus","2.0E-4","SOX9|SESN2|FGF2|CASP9|ATF4|FOXO1|PGF|AKT1","16949","367|342|621|304|731|1426|946|650","1.12E-5","","GO.0071495","0.4237973049510845","0"
"282","5","GO Process","","cellular response to abiotic stimulus","2.0E-4","SOX9|EP300|CASP9|ATF4|AKT1","16949","367|1264|304|731|650","1.1E-5","","GO.0071214","0.4237973049510845","0"
"3559","13","GO Process","","regulation of biological quality","2.0E-4","SOX9|APOE|SESN2|EP300|FGF2|PPP1CA|PMAIP1|ATF4|FOXO1|ERO1L|ERN1|PRMT1|AKT1","16949","367|543|342|1264|621|1120|171|731|1426|605|1085|225|650","1.13E-5","","GO.0065008","0.4237973049510845","0"
"1501","9","GO Process","","regulation of apoptotic process","2.0E-4","SOX9|EGLN3|APOE|PPP1CA|PMAIP1|CASP9|ATF4|FOXO1|AKT1","16949","367|697|543|1120|171|304|731|1426|650","1.18E-5","","GO.0042981","0.4237973049510845","0"
"38","3","GO Process","","endocrine pancreas development","2.0E-4","SOX9|FOXO1|AKT1","16949","367|1426|650","1.1E-5","","GO.0031018","0.4237973049510845","0"
"286","5","GO Process","","regulation of autophagy","2.0E-4","SESN2|EP300|FOXO1|ERN1|AKT1","16949","342|1264|1426|1085|650","1.17E-5","","GO.0010506","0.4237973049510845","0"
"1493","9","GO Process","","positive regulation of signal transduction","2.0E-4","SOX9|EP300|FGF2|PPP1CA|PMAIP1|MAPKAPK3|ERN1|PRMT1|AKT1","16949","367|1264|621|1120|171|128|1085|225|650","1.13E-5","","GO.0009967","0.4237973049510845","0"
"499","6","GO Process","","transmembrane receptor protein tyrosine kinase signaling pathway","2.0E-4","SOX9|FGF2|FOXO1|MAPKAPK3|PGF|AKT1","16949","367|621|1426|128|946|650","1.11E-5","","GO.0007169","0.4237973049510845","0"
"288","5","GO Process","","regulation of neuron death","2.1E-4","EGLN3|APOE|CASP9|ATF4|AKT1","16949","697|543|304|731|650","1.21E-5","","GO.1901214","0.42136961080133045","0"
"134","4","GO Process","","branching morphogenesis of an epithelial tube","2.2E-4","SOX9|FGF2|PPP1CA|PGF","16949","367|621|1120|946","1.29E-5","","GO.0048754","0.41905487438414796","0"
"137","4","GO Process","","cellular response to starvation","2.3E-4","SESN2|PMAIP1|ATF4|FOXO1","16949","342|171|731|1426","1.4E-5","","GO.0009267","0.41684304981301684","0"
"137","4","GO Process","","circadian rhythm","2.3E-4","EP300|PPP1CA|ATF4|PPP1CC","16949","1264|1120|731|442","1.4E-5","","GO.0007623","0.41684304981301684","0"
"59","3","KEGG Pathways","","VEGF signaling pathway","2.4E-4","CASP9|MAPKAPK3|AKT1","16949","304|128|650","3.86E-5","","hsa04370","0.4147253744844097","0"
"807","7","GO Process","","circulatory system development","2.4E-4","SOX9|APOE|EP300|FGF2|FOXO1|PGF|AKT1","16949","367|543|1264|621|1426|946|650","1.45E-5","","GO.0072359","0.4147253744844097","0"
"139","4","GO Process","","response to UV","2.4E-4","EP300|CASP9|ATF4|AKT1","16949","1264|304|731|650","1.48E-5","","GO.0009411","0.4147253744844097","0"
"183","4","KEGG Pathways","","Kaposi's sarcoma-associated herpesvirus infection","2.5E-4","EP300|FGF2|CASP9|AKT1","16949","1264|621|304|650","4.24E-5","","hsa05167","0.4126941594031494","0"
"1551","9","GO Process","","positive regulation of multicellular organismal process","2.5E-4","SOX9|APOE|EP300|FGF2|ATF4|PPP1CC|PRMT1|PGF|AKT1","16949","367|543|1264|621|731|442|225|946|650","1.53E-5","","GO.0051240","0.4126941594031494","0"
"599","7","GO Function","","protein kinase binding","2.7E-4","SOX9|CASP9|ATF4|PPP1CC|MAPKAPK3|PRMT1|AKT1","16949","367|304|731|442|128|225|650","2.09E-6","","GO.0019901","0.40886474270603945","0"
"311","5","GO Process","","regulation of epithelial cell proliferation","2.8E-4","SOX9|APOE|FGF2|PGF|AKT1","16949","367|543|621|946|650","1.74E-5","","GO.0050678","0.40705516656509083","0"
"45","3","GO Process","","regulation of protein oligomerization","2.8E-4","APOE|EP300|PMAIP1","16949","543|1264|171","1.78E-5","","GO.0032459","0.40705516656509083","0"
"45","3","GO Process","","branching involved in ureteric bud morphogenesis","2.8E-4","SOX9|FGF2|PGF","16949","367|621|946","1.78E-5","","GO.0001658","0.40705516656509083","0"
"68","3","KEGG Pathways","","Renal cell carcinoma","2.9E-4","EGLN3|EP300|AKT1","16949","697|1264|650","5.79E-5","","hsa05211","0.40530909759272316","0"
"195","4","KEGG Pathways","","Proteoglycans in cancer","2.9E-4","FGF2|PPP1CA|PPP1CC|AKT1","16949","621|1120|442|650","5.4E-5","","hsa05205","0.40530909759272316","0"
"65","3","KEGG Pathways","","Amphetamine addiction","2.9E-4","PPP1CA|ATF4|PPP1CC","16949","1120|731|442","5.09E-5","","hsa05031","0.40530909759272316","0"
"197","4","KEGG Pathways","","Focal adhesion","2.9E-4","PPP1CA|PPP1CC|PGF|AKT1","16949","1120|442|946|650","5.62E-5","","hsa04510","0.40530909759272316","0"
"68","3","KEGG Pathways","","p53 signaling pathway","2.9E-4","SESN2|PMAIP1|CASP9","16949","342|171|304","5.79E-5","","hsa04115","0.40530909759272316","0"
"70","3","KEGG Pathways","","Platinum drug resistance","2.9E-4","PMAIP1|CASP9|AKT1","16949","171|304|650","6.29E-5","","hsa01524","0.40530909759272316","0"
"2054","10","GO Process","","positive regulation of response to stimulus","3.0E-4","SOX9|EP300|FGF2|PPP1CA|PMAIP1|MAPKAPK3|ERN1|PRMT1|PGF|AKT1","16949","367|1264|621|1120|171|128|1085|225|946|650","1.95E-5","","GO.0048584","0.4036222289364746","0"
"47","3","GO Process","","glycogen metabolic process","3.1E-4","PPP1CA|PPP1CC|AKT1","16949","1120|442|650","2.02E-5","","GO.0005977","0.4019906775286456","0"
"327","5","GO Process","","regulation of translation","3.3E-4","MKNK2|SESN2|PPP1CA|ATF4|AKT1","16949","226|342|1120|731|650","2.21E-5","","GO.0006417","0.3988797983695381","0"
"5","2","GO Process","","positive regulation of transcription from RNA polymerase II promoter in response to oxidative stress","3.4E-4","SESN2|ATF4","16949","342|731","2.29E-5","","GO.0036091","0.3973943788136696","0"
"878","7","GO Process","","positive regulation of cell population proliferation","3.6E-4","SOX9|FGF2|PPP1CC|ERN1|PRMT1|PGF|AKT1","16949","367|621|442|1085|225|946|650","2.5E-5","","GO.0008284","0.39455029846979983","0"
"2197","11","GO Function","","enzyme binding","3.8E-4","SOX9|FGF2|PPP1CA|CASP9|ATF4|PPP1CC|FOXO1|MAPKAPK3|ERN1|PRMT1|AKT1","16949","367|621|1120|304|731|442|1426|128|1085|225|650","4.37E-6","","GO.0019899","0.3918600292525148","0"
"1670","9","GO Process","","negative regulation of gene expression","3.9E-4","SOX9|APOE|SESN2|EP300|ATF4|FOXO1|CHAC1|ERN1|AKT1","16949","367|543|342|1264|731|1426|975|1085|650","2.77E-5","","GO.0010629","0.39056754464108323","0"
"85","4","Reactome Pathways","","PI3K/AKT Signaling in Cancer","3.9E-4","FGF2|CASP9|FOXO1|AKT1","16949","621|304|1426|650","2.25E-6","","HSA-2219528","0.39056754464108323","0"
"896","7","GO Process","","cellular response to oxygen-containing compound","4.0E-4","SOX9|SESN2|CASP9|ATF4|FOXO1|ERN1|AKT1","16949","367|342|304|731|1426|1085|650","2.85E-5","","GO.1901701","0.389307784700235","0"
"347","5","GO Process","","positive regulation of proteolysis","4.0E-4","EGLN3|APOE|PMAIP1|CASP9|AKT1","16949","697|543|171|304|650","2.93E-5","","GO.0045862","0.389307784700235","0"
"169","4","GO Process","","glucose homeostasis","4.2E-4","SESN2|FOXO1|ERN1|AKT1","16949","342|1426|1085|650","3.13E-5","","GO.0042593","0.386880090550481","0"
"55","3","GO Process","","circadian regulation of gene expression","4.2E-4","PPP1CA|ATF4|PPP1CC","16949","1120|731|442","3.16E-5","","GO.0032922","0.386880090550481","0"
"1286","8","GO Process","","positive regulation of developmental process","4.4E-4","SOX9|APOE|FGF2|ATF4|PPP1CC|PRMT1|PGF|AKT1","16949","367|543|621|731|442|225|946|650","3.32E-5","","GO.0051094","0.38456535413329845","0"
"26","3","Reactome Pathways","","Constitutive Signaling by AKT1 E17K in Cancer","4.4E-4","CASP9|FOXO1|AKT1","16949","304|1426|650","3.81E-6","","HSA-5674400","0.38456535413329845","0"
"3","2","Pfam","","Serine-threonine protein phosphatase N-terminal domain","4.5E-4","PPP1CA|PPP1CC","16949","1120|442","1.09E-5","","PF16891","0.38344715292186476","0"
"9135","19","GO Process","","organic substance metabolic process","4.5E-4","SOX9|EGLN3|MKNK2|APOE|SESN2|EP300|FGF2|PPP1CA|PMAIP1|CASP9|ATF4|PPP1CC|FOXO1|ERO1L|MAPKAPK3|CHAC1|ERN1|PRMT1|AKT1","16949","367|697|226|543|342|1264|621|1120|171|304|731|442|1426|605|128|975|1085|225|650","3.41E-5","","GO.0071704","0.38344715292186476","0"
"1713","9","GO Process","","positive regulation of molecular function","4.5E-4","EGLN3|APOE|EP300|FGF2|PMAIP1|CASP9|MAPKAPK3|ERN1|AKT1","16949","697|543|1264|621|171|304|128|1085|650","3.4E-5","","GO.0044093","0.38344715292186476","0"
"173","4","GO Process","","peptidyl-serine phosphorylation","4.5E-4","MKNK2|MAPKAPK3|ERN1|AKT1","16949","226|128|1085|650","3.42E-5","","GO.0018105","0.38344715292186476","0"
"123","4","GO Function","","protein phosphatase binding","4.8E-4","PPP1CA|PPP1CC|FOXO1|AKT1","16949","1120|442|1426|650","9.26E-6","","GO.0019903","0.3802358542335602","0"
"85","3","KEGG Pathways","","Colorectal cancer","4.9E-4","PMAIP1|CASP9|AKT1","16949","171|304|650","1.1E-4","","hsa05210","0.37920988263116207","0"
"178","4","GO Process","","positive regulation of epithelial cell proliferation","4.9E-4","SOX9|FGF2|PGF|AKT1","16949","367|621|946|650","3.81E-5","","GO.0050679","0.37920988263116207","0"
"7","2","GO Process","","negative regulation of translation in response to stress","5.0E-4","SESN2|ATF4","16949","342|731","3.92E-5","","GO.0032055","0.37820463915229996","0"
"2249","10","GO Process","","regulation of catalytic activity","5.4E-4","EGLN3|APOE|SESN2|GABBR2|FGF2|PMAIP1|CASP9|MAPKAPK3|ERN1|AKT1","16949","697|543|342|102|621|171|304|128|1085|650","4.32E-5","","GO.0050790","0.37437522245518995","0"
"6607","17","GO Function","","protein binding","5.5E-4","SOX9|MKNK2|APOE|GABBR2|EP300|FGF2|PPP1CA|CASP9|ATF4|PPP1CC|FOXO1|MAPKAPK3|CHAC1|ERN1|PRMT1|PGF|AKT1","16949","367|226|543|102|1264|621|1120|304|731|442|1426|128|975|1085|225|946|650","1.26E-5","","GO.0005515","0.37346220858536344","0"
"959","7","GO Process","","positive regulation of intracellular signal transduction","5.5E-4","SOX9|FGF2|PMAIP1|MAPKAPK3|ERN1|PRMT1|AKT1","16949","367|621|171|128|1085|225|650","4.39E-5","","GO.1902533","0.37346220858536344","0"
"4050","13","GO Process","","regulation of cellular macromolecule biosynthetic process","5.9E-4","SOX9|EGLN3|MKNK2|APOE|SESN2|EP300|FGF2|PPP1CA|ATF4|FOXO1|ERN1|PRMT1|AKT1","16949","367|697|226|543|342|1264|621|1120|731|1426|1085|225|650","4.83E-5","","GO.2000112","0.36996899492293334","0"
"195","4","GO Process","","regulation of neuron apoptotic process","6.4E-4","EGLN3|APOE|CASP9|ATF4","16949","697|543|304|731","5.4E-5","","GO.0043523","0.36592140999732065","0"
"665","6","GO Process","","cellular chemical homeostasis","6.5E-4","APOE|FGF2|ATF4|FOXO1|ERO1L|ERN1","16949","543|621|731|1426|605|1085","5.52E-5","","GO.0055082","0.3651499548569085","0"
"1381","8","GO Process","","positive regulation of catalytic activity","6.5E-4","EGLN3|APOE|FGF2|PMAIP1|CASP9|MAPKAPK3|ERN1|AKT1","16949","697|543|621|171|304|128|1085|650","5.53E-5","","GO.0043085","0.3651499548569085","0"
"198","4","GO Process","","protein autophosphorylation","6.6E-4","MKNK2|MAPKAPK3|ERN1|AKT1","16949","226|128|1085|650","5.73E-5","","GO.0046777","0.36439027811868857","0"
"399","5","GO Process","","positive regulation of catabolic process","6.6E-4","SOX9|APOE|SESN2|FOXO1|AKT1","16949","367|543|342|1426|650","5.64E-5","","GO.0009896","0.36439027811868857","0"
"1876","9","GO Process","","regulation of multicellular organismal development","7.7E-4","SOX9|APOE|EP300|FGF2|ATF4|PPP1CC|PRMT1|PGF|AKT1","16949","367|543|1264|621|731|442|225|946|650","6.97E-5","","GO.2000026","0.35672007019936974","0"
"209","4","GO Process","","regulation of cysteine-type endopeptidase activity involved in apoptotic process","7.7E-4","EGLN3|PMAIP1|CASP9|AKT1","16949","697|171|304|650","7.04E-5","","GO.0043281","0.35672007019936974","0"
"208","4","GO Process","","regulation of stress-activated MAPK cascade","7.7E-4","FOXO1|ERN1|PRMT1|AKT1","16949","1426|1085|225|650","6.91E-5","","GO.0032872","0.35672007019936974","0"
"209","4","GO Process","","regulation of epithelial cell migration","7.7E-4","SOX9|APOE|FGF2|AKT1","16949","367|543|621|650","7.04E-5","","GO.0010632","0.35672007019936974","0"
"1876","9","GO Process","","positive regulation of biosynthetic process","7.7E-4","SOX9|APOE|SESN2|EP300|FGF2|ATF4|FOXO1|PRMT1|AKT1","16949","367|543|342|1264|621|731|1426|225|650","6.97E-5","","GO.0009891","0.35672007019936974","0"
"10","2","GO Process","","regulation of translational initiation in response to stress","7.8E-4","PPP1CA|ATF4","16949","1120|731","7.18E-5","","GO.0043558","0.3560780243902337","0"
"213","4","GO Process","","regulation of protein binding","8.1E-4","APOE|EP300|PPP1CA|AKT1","16949","543|1264|1120|650","7.56E-5","","GO.0043393","0.3542001464405801","0"
"2416","10","GO Process","","regulation of developmental process","8.5E-4","SOX9|APOE|EP300|FGF2|ATF4|PPP1CC|FOXO1|PRMT1|PGF|AKT1","16949","367|543|1264|621|731|442|1426|225|946|650","8.02E-5","","GO.0050793","0.3518017130148851","0"
"217","4","GO Process","","positive regulation of protein catabolic process","8.5E-4","SOX9|APOE|FOXO1|AKT1","16949","367|543|1426|650","8.12E-5","","GO.0045732","0.3518017130148851","0"
"218","4","GO Process","","regulation of canonical Wnt signaling pathway","8.6E-4","SOX9|APOE|PPP1CA|FOXO1","16949","367|543|1120|1426","8.26E-5","","GO.0060828","0.3512197431077992","0"
"78","3","GO Process","","cellular response to UV","8.8E-4","EP300|CASP9|ATF4","16949","1264|304|731","8.59E-5","","GO.0034644","0.350075833882449","0"
"3","2","InterPro Domains","","Serine-threonine protein phosphatase, N-terminal","8.9E-4","PPP1CA|PPP1CC","16949","1120|442","1.09E-5","","IPR031675","0.3495135921959989","0"
"80","3","GO Process","","positive regulation of smooth muscle cell proliferation","9.3E-4","FGF2|ERN1|AKT1","16949","621|1085|650","9.24E-5","","GO.0048661","0.3473260812631862","0"
"1483","8","GO Process","","negative regulation of response to stimulus","9.3E-4","SOX9|APOE|SESN2|FGF2|ATF4|FOXO1|CHAC1|AKT1","16949","367|543|342|621|731|1426|975|650","9.16E-5","","GO.0048585","0.3473260812631862","0"
"82","3","GO Process","","DNA damage response, signal transduction by p53 class mediator","9.9E-4","SESN2|EP300|PRMT1","16949","342|1264|225","9.91E-5","","GO.0030330","0.34421520210407874","0"
"83","3","GO Process","","regulation of response to oxidative stress","0.001","SESN2|ATF4|AKT1","16949","342|731|650","1.0E-4","","GO.1902882","0.34371511890145046","0"
"1104","7","GO Process","","positive regulation of transcription by RNA polymerase II","0.001","SOX9|SESN2|EP300|FGF2|ATF4|FOXO1|AKT1","16949","367|342|1264|621|731|1426|650","1.1E-4","","GO.0045944","0.34371511890145046","0"
"742","6","GO Process","","regulation of proteolysis","0.001","EGLN3|APOE|PMAIP1|CASP9|CHAC1|AKT1","16949","697|543|171|304|975|650","1.0E-4","","GO.0030162","0.34371511890145046","0"
"39","3","Reactome Pathways","","Regulation of beta-cell development","0.001","EP300|FOXO1|AKT1","16949","1264|1426|650","1.19E-5","","HSA-186712","0.34371511890145046","0"
"85","3","GO Process","","positive regulation of neuron death","0.0011","APOE|CASP9|ATF4","16949","543|304|731","1.1E-4","","GO.1901216","0.33897268833451394","0"
"88","3","GO Process","","regulation of blood vessel endothelial cell migration","0.0011","APOE|FGF2|AKT1","16949","543|621|650","1.2E-4","","GO.0043535","0.33897268833451394","0"
"2524","10","GO Process","","regulation of localization","0.0011","SOX9|APOE|SESN2|FGF2|PMAIP1|ATF4|PPP1CC|ERO1L|PGF|AKT1","16949","367|543|342|621|171|731|442|605|946|650","1.2E-4","","GO.0032879","0.33897268833451394","0"
"13","2","GO Process","","4-hydroxyproline metabolic process","0.0011","EGLN3|ERO1L","16949","697|605","1.1E-4","","GO.0019471","0.33897268833451394","0"
"85","3","GO Process","","activation of cysteine-type endopeptidase activity involved in apoptotic process","0.0011","EGLN3|PMAIP1|CASP9","16949","697|171|304","1.1E-4","","GO.0006919","0.33897268833451394","0"
"464","5","GO Process","","blood vessel development","0.0011","APOE|FGF2|FOXO1|PGF|AKT1","16949","543|621|1426|946|650","1.1E-4","","GO.0001568","0.33897268833451394","0"
"4","2","Reactome Pathways","","AKT-mediated inactivation of FOXO1A","0.0011","FOXO1|AKT1","16949","1426|650","1.64E-5","","HSA-211163","0.33897268833451394","0"
"43","3","Reactome Pathways","","Intrinsic Pathway for Apoptosis","0.0011","PMAIP1|CASP9|AKT1","16949","171|304|650","1.57E-5","","HSA-109606","0.33897268833451394","0"
"90","3","GO Process","","cellular response to ketone","0.0012","CASP9|FOXO1|AKT1","16949","304|1426|650","1.3E-4","","GO.1901655","0.3346431884347757","0"
"91","3","GO Process","","regulation of anion transport","0.0012","APOE|ATF4|AKT1","16949","543|731|650","1.3E-4","","GO.0044070","0.3346431884347757","0"
"89","3","GO Process","","positive regulation of endothelial cell proliferation","0.0012","FGF2|PGF|AKT1","16949","621|946|650","1.3E-4","","GO.0001938","0.3346431884347757","0"
"485","5","GO Process","","cellular response to organonitrogen compound","0.0013","SOX9|SESN2|ATF4|FOXO1|AKT1","16949","367|342|731|1426|650","1.4E-4","","GO.0071417","0.33066043460605904","0"
"1596","8","GO Process","","positive regulation of RNA metabolic process","0.0013","SOX9|SESN2|EP300|FGF2|ATF4|FOXO1|ERN1|AKT1","16949","367|342|1264|621|731|1426|1085|650","1.5E-4","","GO.0051254","0.33066043460605904","0"
"8808","18","GO Process","","primary metabolic process","0.0013","SOX9|EGLN3|MKNK2|APOE|SESN2|EP300|FGF2|PPP1CA|PMAIP1|CASP9|ATF4|PPP1CC|FOXO1|ERO1L|MAPKAPK3|ERN1|PRMT1|AKT1","16949","367|697|226|543|342|1264|621|1120|171|304|731|442|1426|605|128|1085|225|650","1.5E-4","","GO.0044238","0.33066043460605904","0"
"8797","18","GO Process","","cellular metabolic process","0.0013","SOX9|EGLN3|MKNK2|APOE|SESN2|EP300|FGF2|PPP1CA|PMAIP1|ATF4|PPP1CC|FOXO1|ERO1L|MAPKAPK3|CHAC1|ERN1|PRMT1|AKT1","16949","367|697|226|543|342|1264|621|1120|171|731|442|1426|605|128|975|1085|225|650","1.4E-4","","GO.0044237","0.33066043460605904","0"
"793","6","GO Process","","tube development","0.0013","SOX9|APOE|EP300|FGF2|PPP1CA|PGF","16949","367|543|1264|621|1120|946","1.4E-4","","GO.0035295","0.33066043460605904","0"
"491","5","GO Process","","response to inorganic substance","0.0013","PPP1CA|CASP9|ATF4|FOXO1|AKT1","16949","1120|304|731|1426|650","1.5E-4","","GO.0010035","0.33066043460605904","0"
"635","6","GO Function","","protein kinase activity","0.0014","SOX9|MKNK2|FGF2|MAPKAPK3|ERN1|AKT1","16949","367|226|621|128|1085|650","4.28E-5","","GO.0004672","0.3269729805154568","0"
"123","3","KEGG Pathways","","Platelet activation","0.0014","PPP1CA|PPP1CC|AKT1","16949","1120|442|650","3.2E-4","","hsa04611","0.3269729805154568","0"
"16","2","GO Process","","cellular response to arsenic-containing substance","0.0014","MKNK2|ATF4","16949","226|731","1.7E-4","","GO.0071243","0.3269729805154568","0"
"100","3","GO Process","","fat cell differentiation","0.0015","EP300|FOXO1|ERO1L","16949","1264|1426|605","1.8E-4","","GO.0045444","0.3235400428868406","0"
"103","3","GO Process","","reactive oxygen species metabolic process","0.0016","SESN2|PMAIP1|AKT1","16949","342|171|650","1.9E-4","","GO.0072593","0.320328744198536","0"
"831","6","GO Process","","anatomical structure formation involved in morphogenesis","0.0016","SOX9|EP300|FGF2|CASP9|FOXO1|PGF","16949","367|1264|621|304|1426|946","1.9E-4","","GO.0048646","0.320328744198536","0"
"9","2","GO Function","","pre-mRNA intronic binding","0.0017","SOX9|EP300","16949","367|1264","5.99E-5","","GO.0097157","0.31731219276403566","0"
"5592","15","GO Function","","catalytic activity","0.0017","SOX9|EGLN3|MKNK2|SESN2|EP300|FGF2|PPP1CA|CASP9|PPP1CC|ERO1L|MAPKAPK3|CHAC1|ERN1|PRMT1|AKT1","16949","367|697|226|342|1264|621|1120|304|442|605|128|975|1085|225|650","5.9E-5","","GO.0003824","0.31731219276403566","0"
"133","3","KEGG Pathways","","Estrogen signaling pathway","0.0017","GABBR2|ATF4|AKT1","16949","102|731|650","4.0E-4","","hsa04915","0.31731219276403566","0"
"360","5","Reactome Pathways","","Diseases of signal transduction","0.0017","EP300|FGF2|CASP9|FOXO1|AKT1","16949","1264|621|304|1426|650","3.48E-5","","HSA-5663202","0.31731219276403566","0"
"359","5","Reactome Pathways","","Transcriptional Regulation by TP53","0.0017","SESN2|EP300|PMAIP1|PRMT1|AKT1","16949","342|1264|171|225|650","3.43E-5","","HSA-3700989","0.31731219276403566","0"
"854","6","GO Process","","carboxylic acid metabolic process","0.0018","EGLN3|SESN2|FGF2|ATF4|ERO1L|AKT1","16949","697|342|621|731|605|650","2.2E-4","","GO.0019752","0.3144681124201658","0"
"142","3","KEGG Pathways","","Alcoholism","0.0019","PPP1CA|ATF4|PPP1CC","16949","1120|731|442","4.8E-4","","hsa05034","0.31177784320288077","0"
"1695","8","GO Process","","regulation of cell differentiation","0.0019","SOX9|APOE|EP300|FGF2|PPP1CC|FOXO1|PRMT1|AKT1","16949","367|543|1264|621|442|1426|225|650","2.3E-4","","GO.0045595","0.31177784320288077","0"
"19","2","GO Process","","entrainment of circadian clock by photoperiod","0.0019","PPP1CA|PPP1CC","16949","1120|442","2.3E-4","","GO.0043153","0.31177784320288077","0"
"19","2","GO Process","","platelet formation","0.0019","EP300|CASP9","16949","1264|304","2.3E-4","","GO.0030220","0.31177784320288077","0"
"11","2","GO Function","","calcium-dependent protein serine/threonine kinase activity","0.002","MKNK2|MAPKAPK3","16949","226|128","8.48E-5","","GO.0009931","0.309225598650601","0"
"2206","9","GO Process","","nervous system development","0.002","SOX9|APOE|EP300|FGF2|ATF4|PPP1CC|CHAC1|PRMT1|AKT1","16949","367|543|1264|621|731|442|975|225|650","2.4E-4","","GO.0007399","0.309225598650601","0"
"149","3","KEGG Pathways","","Non-alcoholic fatty liver disease (NAFLD)","0.0021","ATF4|ERN1|AKT1","16949","731|1085|650","5.5E-4","","hsa04932","0.306797904500847","0"
"31","2","KEGG Pathways","","Apoptosis - multiple species","0.0021","PMAIP1|CASP9","16949","171|304","5.7E-4","","hsa04215","0.306797904500847","0"
"20","2","GO Process","","positive regulation of nitric-oxide synthase activity","0.0021","APOE|AKT1","16949","543|650","2.5E-4","","GO.0051000","0.306797904500847","0"
"67","3","Reactome Pathways","","Circadian Clock","0.0021","EP300|PPP1CA|PPP1CC","16949","1264|1120|442","5.55E-5","","HSA-400253","0.306797904500847","0"
"13","2","SMART Domains","","Protein phosphatase 2A homologues, catalytic domain.","0.0021","PPP1CA|PPP1CC","16949","1120|442","1.1E-4","","SM00156","0.306797904500847","0"
"234","4","GO Function","","sulfur compound binding","0.0022","APOE|FGF2|PRMT1|PGF","16949","543|621|225|946","1.1E-4","","GO.1901681","0.3044831680836645","0"
"82","3","GO Function","","beta-catenin binding","0.0022","SOX9|EP300|FOXO1","16949","367|1264|1426","9.91E-5","","GO.0008013","0.3044831680836645","0"
"2788","10","GO Process","","regulation of multicellular organismal process","0.0022","SOX9|APOE|EP300|FGF2|ATF4|PPP1CC|FOXO1|PRMT1|PGF|AKT1","16949","367|543|1264|621|731|442|1426|225|946|650","2.7E-4","","GO.0051239","0.3044831680836645","0"
"116","3","GO Process","","Notch signaling pathway","0.0022","SOX9|EP300|CHAC1","16949","367|1264|975","2.7E-4","","GO.0007219","0.3044831680836645","0"
"118","3","GO Process","","stem cell population maintenance","0.0023","SOX9|FGF2|FOXO1","16949","367|621|1426","2.8E-4","","GO.0019827","0.3022713435125333","0"
"908","6","GO Process","","positive regulation of cell differentiation","0.0024","SOX9|APOE|FGF2|PPP1CC|PRMT1|AKT1","16949","367|543|621|442|225|650","3.0E-4","","GO.0045597","0.3001536681839262","0"
"1758","8","GO Process","","positive regulation of macromolecule biosynthetic process","0.0024","SOX9|SESN2|EP300|FGF2|ATF4|FOXO1|PRMT1|AKT1","16949","367|342|1264|621|731|1426|225|650","3.0E-4","","GO.0010557","0.3001536681839262","0"
"161","3","KEGG Pathways","","Protein processing in endoplasmic reticulum","0.0025","ATF4|ERO1L|ERN1","16949","731|605|1085","6.9E-4","","hsa04141","0.29812245310266594","0"
"123","3","GO Process","","negative regulation of canonical Wnt signaling pathway","0.0025","SOX9|APOE|FOXO1","16949","367|543|1426","3.2E-4","","GO.0090090","0.29812245310266594","0"
"310","4","GO Process","","cellular response to drug","0.0025","SOX9|CASP9|ATF4|FOXO1","16949","367|304|731|1426","3.1E-4","","GO.0035690","0.29812245310266594","0"
"923","6","GO Process","","protein phosphorylation","0.0025","SOX9|MKNK2|FGF2|MAPKAPK3|ERN1|AKT1","16949","367|226|621|128|1085|650","3.3E-4","","GO.0006468","0.29812245310266594","0"
"10","2","Reactome Pathways","","AKT phosphorylates targets in the nucleus","0.0025","FOXO1|AKT1","16949","1426|650","7.18E-5","","HSA-198693","0.29812245310266594","0"
"932","6","GO Process","","oxidation-reduction process","0.0027","EGLN3|SESN2|PPP1CA|PPP1CC|ERO1L|AKT1","16949","697|342|1120|442|605|650","3.5E-4","","GO.0055114","0.29429303640555593","0"
"24","2","GO Process","","gamma-aminobutyric acid signaling pathway","0.0027","GABBR2|ATF4","16949","102|731","3.5E-4","","GO.0007214","0.29429303640555593","0"
"168","3","KEGG Pathways","","Influenza A","0.0028","EP300|CASP9|AKT1","16949","1264|304|650","7.7E-4","","hsa05164","0.2924834602646073","0"
"172","3","KEGG Pathways","","Tuberculosis","0.0028","EP300|CASP9|AKT1","16949","1264|304|650","8.3E-4","","hsa05152","0.2924834602646073","0"
"168","3","KEGG Pathways","","Alzheimer's disease","0.0028","APOE|CASP9|ERN1","16949","543|304|1085","7.7E-4","","hsa05010","0.2924834602646073","0"
